식품명,총개수,유효개수,제거개수,대표행 필터통과
__GLOBAL__,147999,137186,10813,
소금빵,37,7,30,FALSE
노니주스,29,0,29,FALSE
단팥빵,37,14,23,FALSE
소고기미역국,23,0,23,FALSE
모닝빵,26,5,21,FALSE
에그타르트,24,3,21,TRUE
육개장,21,0,21,FALSE
레몬마들렌,21,1,20,FALSE
치아바타,21,2,19,FALSE
유기농 레몬즙,19,0,19,FALSE
전복죽,19,1,18,FALSE
고구마빵,18,0,18,FALSE
단호박죽,17,0,17,FALSE
참기름,17,0,17,FALSE
초코칩쿠키,32,16,16,FALSE
브라우니,22,6,16,FALSE
티라미수,19,3,16,FALSE
감자빵,16,0,16,FALSE
들기름,16,0,16,FALSE
소불고기,16,0,16,FALSE
플레인베이글,16,0,16,FALSE
버터크림빵,18,3,15,FALSE
플레인 휘낭시에,17,2,15,FALSE
쌀국수,16,1,15,FALSE
갈비탕,15,0,15,FALSE
김치찌개,15,0,15,FALSE
딸기잼,15,0,15,FALSE
블루베리베이글,15,0,15,FALSE
바스크치즈케이크,18,4,14,FALSE
카스테라,18,4,14,FALSE
바게트,15,1,14,FALSE
추어탕,14,0,14,FALSE
한우사골곰탕,14,0,14,FALSE
우유식빵,27,14,13,TRUE
치즈케이크,17,4,13,TRUE
초코머핀,16,3,13,FALSE
크룽지,15,2,13,FALSE
설렁탕,13,0,13,FALSE
왕갈비탕,13,0,13,FALSE
당근케이크,18,6,12,FALSE
부대찌개,14,2,12,FALSE
김치볶음밥,13,1,12,FALSE
타코야끼,13,1,12,FALSE
닭곰탕,12,0,12,FALSE
딸기샌드위치,12,0,12,FALSE
양송이스프,12,0,12,FALSE
황태해장국,12,0,12,FALSE
스파게티,28,17,11,FALSE
마늘바게트,17,6,11,FALSE
휘낭시에,15,4,11,TRUE
밀봉카스테라,13,2,11,FALSE
소보루빵,13,2,11,FALSE
ABC주스,12,1,11,FALSE
새우볶음밥,12,1,11,FALSE
햄치즈샌드위치,12,1,11,FALSE
리코타치즈샐러드,11,0,11,FALSE
삼계탕,11,0,11,FALSE
소고기무국,11,0,11,FALSE
어니언베이글,11,0,11,FALSE
오란다,11,0,11,FALSE
짜장떡볶이,11,0,11,FALSE
팥죽,11,0,11,FALSE
초코마들렌,21,11,10,TRUE
플레인스콘,19,9,10,FALSE
밤식빵,17,7,10,TRUE
크로와상,15,5,10,TRUE
아몬드쿠키,14,4,10,TRUE
롤케이크,13,3,10,FALSE
통밀식빵,13,3,10,FALSE
계란말이,11,1,10,FALSE
동그랑땡,11,1,10,FALSE
마카로니,11,1,10,FALSE
국물떡볶이,10,0,10,FALSE
당면,10,0,10,FALSE
도라지배즙,10,0,10,FALSE
맛김치,10,0,10,FALSE
볶음김치,10,0,10,FALSE
호박죽,10,0,10,FALSE
포기김치,13,4,9,FALSE
뉴욕치즈케이크,12,3,9,FALSE
크림빵,11,2,9,TRUE
플레인 베이글,11,2,9,FALSE
고려홍삼캔디,10,1,9,FALSE
단호박샐러드,10,1,9,TRUE
블루베리잼,10,1,9,FALSE
슈크림빵,10,1,9,FALSE
슈톨렌,10,1,9,FALSE
시나몬롤,10,1,9,FALSE
참치김치볶음밥,10,1,9,FALSE
닭개장,9,0,9,FALSE
딸기쨈,9,0,9,FALSE
맘모스빵,9,0,9,FALSE
매실청,9,0,9,FALSE
박하향캔디,9,0,9,FALSE
백설기,9,0,9,FALSE
사골곰탕,9,0,9,FALSE
상투과자,9,0,9,FALSE
석류즙,9,0,9,FALSE
우렁된장찌개,9,0,9,FALSE
잡채,9,0,9,FALSE
제육볶음,9,0,9,FALSE
청포도에이드,9,0,9,FALSE
평양냉면,9,0,9,FALSE
향미유,9,0,9,FALSE
닭가슴살샐러드,13,5,8,TRUE
땅콩크림빵,11,3,8,TRUE
무화과 휘낭시에,11,3,8,FALSE
올리브치아바타,11,3,8,FALSE
초코마카롱,10,2,8,FALSE
크로크무슈,10,2,8,FALSE
호두정과,10,2,8,FALSE
깍두기,9,1,8,FALSE
누룽지,9,1,8,FALSE
단팥죽,9,1,8,FALSE
마늘빵,9,1,8,FALSE
메론빵,9,1,8,FALSE
바닐라마카롱,9,1,8,FALSE
완두앙금빵,9,1,8,FALSE
CCA주스,8,0,8,FALSE
김치콩나물국,8,0,8,FALSE
낙지볶음,8,0,8,FALSE
누룽지향캔디,8,0,8,FALSE
돈까스소스,8,0,8,FALSE
라이스페이퍼,8,0,8,FALSE
마라탕,8,0,8,FALSE
망고스무디,8,0,8,FALSE
맥주효모 비오틴 10000,8,0,8,FALSE
베이글,8,0,8,FALSE
블루레몬에이드,8,0,8,FALSE
블루베리마카롱,8,0,8,FALSE
생강청,8,0,8,FALSE
양념게장,8,0,8,FALSE
오징어무국,8,0,8,FALSE
유산슬덮밥,8,0,8,FALSE
차돌된장찌개,8,0,8,FALSE
참맛기름,8,0,8,FALSE
청국장,8,0,8,FALSE
초코롤케이크,8,0,8,FALSE
함흥냉면,8,0,8,FALSE
흑사탕,8,0,8,FALSE
마들렌,13,6,7,TRUE
참치마요,12,5,7,TRUE
소보로빵,11,4,7,TRUE
쫄면,10,3,7,FALSE
초코휘낭시에,10,3,7,FALSE
호두과자,10,3,7,FALSE
애플파이,9,2,7,FALSE
초코 휘낭시에,9,2,7,TRUE
초코케이크,9,2,7,FALSE
고구마케이크,8,1,7,TRUE
찰순대,8,1,7,FALSE
참치김밥,8,1,7,FALSE
투움바파스타,8,1,7,FALSE
피칸파이,8,1,7,TRUE
그릴드머쉬룸버거,7,0,7,FALSE
단호박식혜,7,0,7,FALSE
닭갈비,7,0,7,FALSE
도가니탕,7,0,7,FALSE
도토리묵,7,0,7,FALSE
동태전,7,0,7,FALSE
된장찌개,7,0,7,FALSE
디카페인 콜드브루,7,0,7,FALSE
딸기청,7,0,7,FALSE
떡갈비,7,0,7,FALSE
라즈베리잼,7,0,7,FALSE
메밀국수,7,0,7,FALSE
미트볼,7,0,7,FALSE
바나나우유,7,0,7,FALSE
블루베리 베이글,7,0,7,FALSE
사골우거지국,7,0,7,FALSE
살구잼,7,0,7,FALSE
스테비아 대추방울토마토,7,0,7,FALSE
쌀가루,7,0,7,FALSE
쌀떡볶이,7,0,7,FALSE
쌍화차,7,0,7,FALSE
연근조림,7,0,7,FALSE
오이지무침,7,0,7,FALSE
옥수수빵,7,0,7,FALSE
유기농 레몬즙 100,7,0,7,FALSE
콩비지찌개,7,0,7,FALSE
쿠키앤크림,7,0,7,FALSE
토마토주스,7,0,7,FALSE
통밀베이글,7,0,7,FALSE
생칼국수,15,9,6,TRUE
떡국떡,10,4,6,TRUE
뺑오쇼콜라,10,4,6,FALSE
크루키,10,4,6,TRUE
플레인휘낭시에,10,4,6,TRUE
몽블랑,9,3,6,FALSE
소세지빵,9,3,6,FALSE
초코아몬드쿠키,9,3,6,TRUE
함박스테이크,9,3,6,FALSE
