식품명,총개수,유효개수,제거개수,대표행 필터통과
__GLOBAL__,14584,12083,2501,
커피_아메리카노 아이스(ICED),16,4,12,TRUE
커피_아메리카노 핫(HOT),16,4,12,TRUE
에이드_레몬 에이드,12,0,12,FALSE
에이드_자몽 에이드,14,3,11,TRUE
에이드_청포도 에이드,10,1,9,FALSE
샌드위치_크로크무슈,12,4,8,TRUE
커피_카푸치노 핫(HOT),12,4,8,FALSE
커피_카페모카 아이스(ICED),18,11,7,FALSE
과ㆍ채주스_딸기 주스,10,3,7,FALSE
라떼_고구마 라떼 핫(HOT),10,3,7,FALSE
자몽차_자몽티 아이스(ICED),8,1,7,TRUE
자몽차_자몽티 핫(HOT),8,1,7,FALSE
레몬차_레몬티 아이스(ICED),7,0,7,FALSE
레몬차_레몬티 핫(HOT),7,0,7,FALSE
무말랭이무침,7,0,7,FALSE
아이스티_복숭아 아이스티,7,0,7,FALSE
허브차_캐모마일 핫(HOT),7,0,7,FALSE
커피_카페 라떼 핫(HOT),18,12,6,TRUE
커피_카페모카 핫(HOT),16,10,6,FALSE
피자_불고기 피자 (L),13,7,6,FALSE
커피_바닐라 라떼 핫(HOT),12,6,6,FALSE
피자_고구마 피자 (L),11,5,6,FALSE
스무디_블루베리 요거트 스무디,9,3,6,TRUE
상추 겉절이,8,2,6,FALSE
배추 겉절이,7,1,6,FALSE
가자미구이,6,0,6,FALSE
갈치구이_기름,6,0,6,FALSE
감자국,6,0,6,FALSE
곰탕,6,0,6,FALSE
김말이튀김,6,0,6,FALSE
깻잎찜,6,0,6,FALSE
달걀국,6,0,6,FALSE
무국_소고기,6,0,6,FALSE
미역줄기볶음,6,0,6,FALSE
볶음밥_새우,6,0,6,FALSE
소시지볶음,6,0,6,FALSE
순대국,6,0,6,FALSE
에이드_블루레몬 에이드,6,0,6,FALSE
연근조림,6,0,6,FALSE
오징어볶음,6,0,6,FALSE
추어탕,6,0,6,FALSE
커피_에스프레소,6,0,6,FALSE
파무침,6,0,6,FALSE
함박스테이크,6,0,6,FALSE
허브차_캐모마일 아이스(ICED),6,0,6,FALSE
허브차_페퍼민트 아이스(ICED),6,0,6,FALSE
홍차_얼그레이 핫(HOT),6,0,6,FALSE
라떼_고구마 라떼 아이스(ICED),11,6,5,TRUE
피자_야채 피자 (L),8,3,5,TRUE
스무디_딸기 요거트 스무디,7,2,5,FALSE
청포묵 무침,7,2,5,FALSE
깻잎나물,6,1,5,FALSE
두부부침,6,1,5,FALSE
부대찌개,6,1,5,FALSE
