식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),니코틴산(mg),니코틴아마이드(mg),비오틴(μg),비타민 B6 / 피리독신(mg),비타민 B12(μg),엽산(μg DFE),콜린(mg),판토텐산(mg),비타민 D2(μg),비타민 D3(μg),비타민 E(mg α-TE),알파 토코페롤(mg),베타 토코페롤(mg),감마 토코페롤(mg),델타 토코페롤(mg),알파 토코트리에놀(mg),베타 토코트리에놀(mg),감마 토코트리에놀(mg),델타 토코트리에놀(mg),비타민 K(μg),비타민 K1(μg),비타민 K2(μg),갈락토오스(g),과당(g),당알콜(g),맥아당(g),알룰로오스(g),에리스리톨(g),유당(g),자당(g),타가토스(g),포도당(g),불포화지방산(g),EPA와 DHA의 합(mg),가돌레산(20:1) / 에이코센산(20:1)(mg),감마 리놀렌산(18:3(n-6))(mg),네르본산(24:1)(mg),도코사디에노산(22:2)(mg),도코사펜타에노산/토코사펜타엔산(22:5(n-3))(mg),DHA / 도코사헥사에노산/도코사헥사엔산(22:6(n-3))(mg),디호모리놀렌산/에이코사트리에노산(20:3(n-3))(mg),라우르산(12:0)(mg),리그노세르산(24:0)(mg),리놀레산(18:2(n-6))(g),미리스톨레산(14:1)(mg),미리스트산(14:0)(mg),박센산(18:1(n-7))(mg),베헨산(22:0)(mg),부티르산(4:0)(mg),스테아르산(18:0)(mg),스테아리돈산(18:4(n-3))(mg),아라키돈산(20:4(n-6))(mg),아라키드산(20:0)(mg),알파 리놀렌산(18:3(n-3))(g),에루크산(22:1)(mg),에이코사디에노산(20:2(n-6))(mg),에이코사트리에노산(20:3(n-6))(mg),EPA / 에이코사펜타에노산(20:5(n-3))(mg),오메가3 지방산(g),오메가6 지방산(g),올레산(18:1(n-9))(mg),카프로산(6:0)(mg),카프르산(10:0)(mg),카프릴산(8:0)(mg),트라이데칸산(13:0)(mg),트랜스 리놀레산(18:2t)(mg),트랜스 리놀렌산(18:3t)(mg),트랜스 올레산(18:1(n-9t)(mg),트리코산산(23:0)(mg),팔미톨레산(16:1)(mg),팔미트산(16:0)(mg),펜타데칸산(15:0)(mg),헨에이코산산(21:0)(mg),헵타데센산(17:1)(mg),헵타데칸산(17:0)(mg),구리(μg),마그네슘(mg),망간(mg),몰리브덴(μg),불소(mg),셀레늄(μg),아연(mg),염소(mg),요오드(μg),크롬(μg),아미노산(mg),필수아미노산(mg),비필수아미노산(mg),글루탐산(mg),글라이신(mg),라이신(mg),류신(mg),메티오닌(mg),발린(mg),세린(mg),시스테인(mg),아르기닌(mg),아스파르트산(mg),알라닌(mg),이소류신(mg),타우린(mg),트레오닌(mg),트립토판(mg),티로신(mg),페닐알라닌(mg),프롤린(mg),히스티딘(mg),토코페롤(mg),토코트리에놀(mg),출처코드,출처명,1회 섭취참고량,식품중량,품목제조보고번호,제조사명,수입업체명,유통업체명,수입여부,원산지국코드,원산지국명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,카페인(mg)
STD-DB10_2-000001,"귀리, 겉귀리",S,국가표준식품성분표,,농진청('21),,곡류 및 그 제품,,"귀리, 겉귀리",,,,,,,100g,388,11.7,9.880000000000001,8.84,1.56,68.03,0.92,7.6,52,5.3,361,423,3,0,0,0,0.372,0.077,1.415,0,0,,1.51,0.02,0.899,0.516,6.64,0.223,0,24,,0.799,0,0,1.09,0.46,0,0.16,0,2.04,0,0.27,0,0,0,0,0,0,,0,,,0,0.92,,0,7.09,,84.38,0,10.52,0,0,0,0,,,2764.5,,,73.54000000000001,,,,,0,,79.27,,5.13,0,0,,,4052.25,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,468,,627,,,,,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,
STD-DB10_2-000002,"귀리, 쌀귀리",S,국가표준식품성분표,,농진청('20),,곡류 및 그 제품,,"귀리, 쌀귀리",,,,,,,100g,388,11.6,11.14333333333333,8.896666666666667,1.7,66.66333333333334,0.91,8.1,61,4.31,409,405,1,0,0,2,0.467,0.054,1.194,0,0,,1.45,0.01,0.375,0.819,3.9,0.224,0,35,,0.49,0,0,1.38,0.5,0.11,0,0,2.71,0.22,0,0,0,0,0,0,0.08,,0,,,0,0.83,,0,6.79,,69.73999999999999,0,8,0,0,0,0,,,2792.46,,,58.13,,,,,0,,73.86,,3.53,0,0,,,3763.63,,,,,,,2.97,,,,,,,,,,,,,,,,,,,,,,569,,847,,,,,,,,463,,,,,,,,,,,,,,,,,,,,,,,,,
STD-DB10_2-000003,"귀리, 오트밀",S,국가표준식품성분표,,농진청('11),,곡류 및 그 제품,,"귀리, 오트밀",,,,,,,100g,382,12,13.2,8.199999999999999,1.7,64.90000000000001,-,18.8,60,5.8,381,383,4,0,0,3,-,0.07000000000000001,1.1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,-,-,,-,-,,-,-,-,-,-,-,-,,,-,,,-,,,,,-,,-,,-,-,-,,,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,
STD-DB10_2-000004,기장,S,국가표준식품성분표,,농진청('06),,곡류 및 그 제품,,기장,,,,,,,100g,360,11.3,11.2,1.9,1,74.59999999999999,-,-,15,2.8,226,233,6,0,0,0,0.42,0.09,2.9,0,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,-,-,,-,-,,-,-,-,-,-,-,-,,,-,,,-,,,,,-,,-,,-,-,-,,,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,
STD-DB10_2-000005,"기장, 찰기장",S,국가표준식품성분표,,농진청('23),,곡류 및 그 제품,,"기장, 찰기장",,,,,,,100g,371,11.3,13.41,3.69,1.57,70,0.61,4.4,19,4.57,354,288,4,0,0,6,0.623,0.061,0.481,0,0,,0.52,0,0.334,0.147,2.71,0.314,0,59,,0.635,0,0,0.29,0.1,0.08,1.4,0.38,0,0,0,0,0,0,0,0,0,,0,,,0,0.61,,0,2.9,,16.56,0,1.7,0,0,0,0,,,2195.58,,,38.79,,,,,4.11,,43.12,,2.5,0,0,,,588.27,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,253,,1414,,,,,,,,445,,,,,,,,,,,,,,,,,,,,,,,,,
STD-DB10_2-000006,메밀,S,국가표준식품성분표,,농진청('14),,곡류 및 그 제품,,메밀,,,,,,,100g,363,13.1,13.64,3.38,2.04,67.84,0.3,6.3,21,2.78,453,444,1,1,0,7,0.458,0.255,5.189,0,0,,0.71,0,4.527,0.662,0,-,0,41,,0,0,0,0.63,0.15,0,4.72,0.3,0,0,0,0,1.516,1.516,0,0,0,,0,,,0,0,,0,2.52,,92.55,0,4.1,0,0,0,0,,,1164.22,,,36.68,,,,,0,,82.58,,4.88,0,0,,,1124.41,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,784,,879,,,,,,,,440,,,,,,,,,,,,,,,,,,,,,,,,,
STD-DB10_2-000007,"메밀, 가루",S,국가표준식품성분표,,농진청('14),,곡류 및 그 제품,,"메밀, 가루",,,,,,,100g,374,10.5,12.96,3.29,1.89,71.36,0.3,8.5,17,2.92,435,432,1,1,0,9,0.341,0.274,1.724,0,0,,0.7,0,1.316,0.408,0,-,0,26,,3.368,0,0,0.76,0.27,0.02,4.74,0.34,0,0,0,0,3.424,3.424,0,0,0,,0,,,0,0,,0,2.45,,88.29000000000001,0,0,0,0,0,0,,,1143.1,,,36.08,,,,,0,,80.91,,4.95,0,0,,,1081.25,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,744,,832,,,,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,
STD-DB10_2-000008,메밀묵,S,국가표준식품성분표,,농진청('22),,곡류 및 그 제품,,메밀묵,,,,,,,100g,54,86.2,1.11,0.41,0.52,11.77,0,1.2,8,0.9,37,48,132,0,0,1,0.035,0.033,0.114,0,0,,0.07000000000000001,0,0.104,0.01,0,0.004,0,6,,0,0,0,0.03,0.02,0,0.14,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0.19,,5.94,0,0,0,0,0,0,,,89.53,,,3.34,,,,,0,,5.47,,0,0,0,,,87.7,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,58,,68,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,
STD-DB10_2-000009,"메밀묵, 가루",S,국가표준식품성분표,,농진청('14),,곡류 및 그 제품,,"메밀묵, 가루",,,,,,,100g,371,11,8.33,2.04,1.24,77.40000000000001,0,4.1,21,1.84,289,287,2,1,0,7,0.197,0.148,0.734,0.34,0,,0.45,0,0.67,0.064,0,-,0,27,,0,0,0,0.41,0.1,0,3.11,0.2,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,1.55,,54.59,0,0,0,0,0,0,,,726.5700000000001,,,23.7,,,,,0,,55.11,,0,0,0,,,683.48,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,453,,507,,,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,
STD-DB10_2-000010,"멥쌀, 배아미",S,국가표준식품성분표,,JAPAN('20),,곡류 및 그 제품,,"멥쌀, 배아미",,,,,,,100g,343,14.9,6.5,2,0.7,75.8,0.6,1.3,7,0.9,150,150,1,(0),(0),(0),0.23,0.03,3.1,(0),(0),,0.55,-,-,-,3.3,0.22,(0),18,,1.00,-,-,0.9,0.9,Tr,0.1,0,-,-,-,-,(0),-,-,-,0,,0,,,(0),0.6,,Tr,1.22,,6,-,0,-,-,-,-,,,670,,,-,,,,,-,,24,,0,-,-,,,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,
